
Category,American Product,American Product Price (CAD),Canadian Alternative,Canadian Alternative Price (CAD),Image Path (American),Image Path (Canadian)
Dairy Products,Kraft Singles Cheese Slices (450g),5.99,Black Diamond Cheese Slices (450g),5.49,images/kraft_singles_cheese_slices_450g_.png,images/black_diamond_cheese_slices_450g_.png
Dairy Products,Philadelphia Cream Cheese (250g),3.99,Lactantia Cream Cheese (250g),3.79,images/philadelphia_cream_cheese_250g_.png,images/lactantia_cream_cheese_250g_.png
Dairy Products,Yoplait Yogurt (650g),4.49,Liberté Yogurt (650g),4.29,images/yoplait_yogurt_650g_.png,images/libert_yogurt_650g_.png
Dairy Products,Land O'Lakes Butter (454g),6.99,Gay Lea Butter (454g),6.49,images/land_o_lakes_butter_454g_.png,images/gay_lea_butter_454g_.png
Dairy Products,Horizon Organic Milk (2L),6.49,Organic Meadow Milk (2L),5.99,images/horizon_organic_milk_2l_.png,images/organic_meadow_milk_2l_.png
Dairy Products,Chobani Greek Yogurt (4x100g),5.49,Oikos Greek Yogurt (4x100g),5.29,images/chobani_greek_yogurt_4x100g_.png,images/oikos_greek_yogurt_4x100g_.png
Dairy Products,International Delight Coffee Creamer (946ml),4.99,Silk Coffee Creamer (946ml),4.79,images/international_delight_coffee_creamer_946ml_.png,images/silk_coffee_creamer_946ml_.png
Dairy Products,Activia Yogurt (650g),4.49,Astro Yogurt (650g),4.29,images/activia_yogurt_650g_.png,images/astro_yogurt_650g_.png
Dairy Products,Danone Creamy Yogurt (650g),4.49,Olympic Krema Yogurt (650g),4.29,images/danone_creamy_yogurt_650g_.png,images/olympic_krema_yogurt_650g_.png
Dairy Products,President Brie Cheese (200g),8.99,Fromagerie Perron Brie Cheese (200g),8.49,images/president_brie_cheese_200g_.png,images/fromagerie_perron_brie_cheese_200g_.png
Dairy Products,Velveeta Processed Cheese (450g),6.99,Armstrong Processed Cheese (450g),6.49,images/velveeta_processed_cheese_450g_.png,images/armstrong_processed_cheese_450g_.png
Dairy Products,So Delicious Coconut Milk (1.89L),5.99,Earth's Own Coconut Milk (1.89L),5.49,images/so_delicious_coconut_milk_1_89l_.png,images/earth_s_own_coconut_milk_1_89l_.png
Dairy Products,Almond Breeze Almond Milk (1.89L),4.99,Natrel Almond Milk (1.89L),4.79,images/almond_breeze_almond_milk_1_89l_.png,images/natrel_almond_milk_1_89l_.png
Dairy Products,Silk Soy Milk (1.89L),4.99,So Nice Soy Milk (1.89L),4.79,images/silk_soy_milk_1_89l_.png,images/so_nice_soy_milk_1_89l_.png
Dairy Products,Reddi-wip Whipped Cream (225g),3.99,Gay Lea Real Whipped Cream (225g),3.79,images/reddi_wip_whipped_cream_225g_.png,images/gay_lea_real_whipped_cream_225g_.png
Dairy Products,Cheez Whiz Spread (450g),5.49,Kraft Cheez Whiz (Made in Canada) (450g),5.29,images/cheez_whiz_spread_450g_.png,images/kraft_cheez_whiz_made_in_canada_450g_.png
Dairy Products,Stonyfield Organic Yogurt (650g),5.99,Yogourt Bio Kéfir (650g),5.79,images/stonyfield_organic_yogurt_650g_.png,images/yogourt_bio_k_fir_650g_.png
Dairy Products,Organic Valley Butter (454g),7.49,Rolling Meadow Butter (454g),6.99,images/organic_valley_butter_454g_.png,images/rolling_meadow_butter_454g_.png
Dairy Products,Good Karma Flax Milk (1.89L),5.49,Manitoba Harvest Hemp Milk (1.89L),5.29,images/good_karma_flax_milk_1_89l_.png,images/manitoba_harvest_hemp_milk_1_89l_.png
Dairy Products,Noosa Yoghurt (8x120g),8.99,Skotidakis Greek Yogurt (8x120g),8.49,images/noosa_yoghurt_8x120g_.png,images/skotidakis_greek_yogurt_8x120g_.png
Dairy Products,Great Value Shredded Cheese (320g),5.49,Compliments Shredded Cheese (320g),5.29,images/great_value_shredded_cheese_320g_.png,images/compliments_shredded_cheese_320g_.png
Dairy Products,Trader Joe's Goat Cheese (113g),6.49,Happy Goat Cheese (113g),6.29,images/trader_joe_s_goat_cheese_113g_.png,images/happy_goat_cheese_113g_.png
Dairy Products,Lucerne Sour Cream (500ml),3.49,Beatrice Sour Cream (500ml),3.29,images/lucerne_sour_cream_500ml_.png,images/beatrice_sour_cream_500ml_.png
Dairy Products,Dean's Cottage Cheese (500g),4.49,Dairyland Cottage Cheese (500g),4.29,images/dean_s_cottage_cheese_500g_.png,images/dairyland_cottage_cheese_500g_.png
Dairy Products,Blue Diamond Almond Milk (1.89L),4.99,Silk Almond Milk (1.89L),4.79,images/blue_diamond_almond_milk_1_89l_.png,images/silk_almond_milk_1_89l_.png
Dairy Products,Land O'Lakes Half & Half (1L),3.99,Neilson Half & Half (1L),3.79,images/land_o_lakes_half_half_1l_.png,images/neilson_half_half_1l_.png
Dairy Products,Daisy Sour Cream (500ml),3.49,Western Creamery Sour Cream (500ml),3.29,images/daisy_sour_cream_500ml_.png,images/western_creamery_sour_cream_500ml_.png
Dairy Products,Great Value Cream Cheese (250g),3.49,Compliments Cream Cheese (250g),3.29,images/great_value_cream_cheese_250g_.png,images/compliments_cream_cheese_250g_.png
Dairy Products,Trader Joe's Greek Yogurt (500g),5.99,Skyr Icelandic Yogurt (500g),5.79,images/trader_joe_s_greek_yogurt_500g_.png,images/skyr_icelandic_yogurt_500g_.png
Dairy Products,Lucerne Butter (454g),6.99,Island Farms Butter (454g),6.49,images/lucerne_butter_454g_.png,images/island_farms_butter_454g_.png
Dairy Products,Dean's Milk (2L),3.99,Beatrice Milk (2L),3.79,images/dean_s_milk_2l_.png,images/beatrice_milk_2l_.png
Dairy Products,Blue Diamond Almond Breeze (1.89L),4.99,Earth's Own Almond Milk (1.89L),4.79,images/blue_diamond_almond_breeze_1_89l_.png,images/earth_s_own_almond_milk_1_89l_.png
Dairy Products,Land O'Lakes Whipped Cream (225g),3.99,Gay Lea Real Whipped Cream (225g),3.79,images/land_o_lakes_whipped_cream_225g_.png,images/gay_lea_real_whipped_cream_225g_.png
Dairy Products,Daisy Cottage Cheese (500g),4.49,Liberté Cottage Cheese (500g),4.29,images/daisy_cottage_cheese_500g_.png,images/libert_cottage_cheese_500g_.png
Dairy Products,Great Value Greek Yogurt (650g),4.49,Compliments Greek Yogurt (650g),4.29,images/great_value_greek_yogurt_650g_.png,images/compliments_greek_yogurt_650g_.png
Dairy Products,Trader Joe's Organic Milk (2L),6.49,Organic Meadow Milk (2L),5.99,images/trader_joe_s_organic_milk_2l_.png,images/organic_meadow_milk_2l_.png
Dairy Products,Lucerne Shredded Cheese (320g),5.49,Armstrong Shredded Cheese (320g),5.29,images/lucerne_shredded_cheese_320g_.png,images/armstrong_shredded_cheese_320g_.png
Dairy Products,Dean's Sour Cream (500ml),3.49,Dairyland Sour Cream (500ml),3.29,images/dean_s_sour_cream_500ml_.png,images/dairyland_sour_cream_500ml_.png
Dairy Products,Blue Diamond Almonds (200g),5.99,Wonderful Pistachios (200g),5.79,images/blue_diamond_almonds_200g_.png,images/wonderful_pistachios_200g_.png
Dairy Products,Land O'Lakes Cheese Slices (450g),5.99,Black Diamond Cheese Slices (450g),5.49,images/land_o_lakes_cheese_slices_450g_.png,images/blackdiamond.png
Dairy Products,Daisy Whipped Cream (225g),3.99,Island Farms Whipped Cream (225g),3.79,images/daisy_whipped_cream_225g_.png,images/island_farms_whipped_cream_225g_.png
Dairy Products,Great Value Butter (454g),6.99,Compliments Butter (454g),6.49,images/great_value_butter_454g_.png,images/compliments_butter_454g_.png
